movie_id,country_id
1307068,5
1307068,54
1307068,30
1307068,29
60675,0
60675,19
1788391,1
2072933,3
430105,5
3171886,31
56923,5
825232,5
1623205,5
477080,5
1103275,5
1103275,0
1474276,25
57036,6
3409392,0
3409392,55
410097,5
458339,5
1810683,5
1810683,35
3316948,5
3316948,4
829150,5
829150,25
441773,5
1228987,1
1228987,5
98206,5
1132285,5
1132285,3
1132285,0
3303444,53
15163,5
187078,5
97576,5
457430,12
457430,35
457430,5
1772980,18
138097,5
63522,5
3680410,16
1349451,5
86190,5
1907668,5
829482,5
81398,5
3569230,1
3569230,0
1230215,5
1070858,5
2213054,15
2002789,5
427944,5
2528814,5
404978,5
107290,5
1837562,1
2248944,46
1529572,5
1602613,43
1602613,19
1602613,56
1602613,5
1602613,0
40897,5
2184287,1
1191111,0
1191111,2
1191111,6
1191111,3
838221,5
787474,5
1972779,5
84868,5
3060492,5
3060492,1
1220198,5
1220198,1
454848,5
1379182,50
119784,5
119784,6
1683526,5
48316,5
1368440,5
1368440,18
443453,5
443453,1
74958,5
2396429,25
1258972,5
1258972,11
401792,5
395495,5
3165608,5
77572,1
77572,5
169547,5
2317225,1
1554091,5
1424310,11
1424310,24
1399683,5
2235108,5
2616880,5
1379176,18
1996264,5
319343,5
319343,2
2201251,5
74483,5
119164,1
119164,5
1355630,5
278504,5
278504,3
2339741,1
2339741,5
2339741,3
120632,2
120632,5
360201,1
360201,0
360201,5
404203,5
2125608,19
2125608,1
2125608,36
1433108,5
1441395,1
1441395,5
1441395,4
3544082,1
203009,5
203009,16
32143,5
3541262,32
1670646,31
1670646,57
1670646,5
1670646,37
144084,5
370263,5
370263,1
370263,21
370263,3
370263,2
3539664,0
2083355,5
2179116,5
34298,25
443701,5
443701,3
91203,1
118760,5
118760,39
84021,5
443706,5
147800,5
465551,1
54177,0
2027064,5
298408,5
100234,20
1229340,5
1605783,12
1605783,5
1605783,0
2293640,5
49406,5
1547234,5
48424,5
117500,5
1646975,6
1646975,2
1646975,4
2368749,35
2368749,0
2402751,35
879870,5
2322601,25
800241,12
800241,2
800241,1
800241,58
398842,5
46126,5
2130321,9
2130321,5
119822,5
1540741,1
1540741,5
1540741,3
808417,0
808417,5
266987,2
266987,5
266987,25
266987,0
876563,25
1038919,5
223897,5
942385,5
942385,1
942385,2
232500,5
232500,2
1247690,5
1247690,0
1247690,21
3181822,5
1496025,5
110357,5
245686,5
120382,5
107822,9
107822,16
107822,0
120389,5
120389,25
117438,5
116922,0
116922,5
1186370,5
457939,5
2334879,5
91431,11
91431,59
1498569,5
42004,1
190590,1
190590,0
190590,5
335266,5
335266,25
1814930,5
206634,5
206634,1
381270,0
2050634,43
2076220,0
2076220,2
2494834,19
1440732,1
1440732,6
1456635,5
1456635,3
87363,5
116695,5
2140379,5
1431181,1
2416376,5
2416376,0
1622547,2
1622547,3
1622547,5
2140373,1
2140373,16
2140373,5
1638002,2
1638002,1
356910,5
1661382,5
1029234,0
1029234,3
72890,5
1279935,5
1632708,5
54953,1
54953,5
1401152,1
1401152,2
1401152,0
1401152,5
121164,5
121164,1
770828,5
770828,3
770828,1
382932,5
2402101,1
2402101,0
2402101,5
46303,5
82199,1
82198,5
457572,3
379786,5
421073,5
2103217,0
2103217,5
86200,5
118971,5
118971,2
1441952,1
1441951,1
833476,15
70723,5
1704573,5
55601,12
55601,35
989757,5
2910904,16
498380,5
217505,5
217505,6
2717822,5
125664,1
125664,2
125664,25
125664,5
63663,5
2375605,43
2375605,14
2375605,1
81534,5
1663143,5
1586265,5
1954470,15
1194173,5
107048,5
338526,5
338526,21
1659343,5
1942884,3
2040560,5
121765,5
121766,5
72271,5
280380,5
280380,2
3560686,18
245429,25
416212,5
332280,5
55913,6
471042,5
804522,5
446719,1
446719,39
446719,5
222850,5
3169706,1
3169706,0
1486616,5
95574,38
2797242,15
2399533,0
15002,5
997152,5
2551428,13
2551428,12
1065318,43
1428538,2
1428538,5
381849,5
409965,20
409965,25
409965,0
50083,5
2912144,20
1134629,5
102536,0
102536,1
102536,2
102536,5
102536,25
1028576,5
1770734,1
1770734,39
240890,5
2023690,1
115640,1
289765,2
289765,5
337978,5
337978,1
112688,5
1352824,5
1352824,3
1352824,0
848537,5
2644714,24
69824,6
69824,1
50706,0
50706,6
1995341,5
1913166,5
780524,5
1550312,3
1550312,0
3495030,15
1303828,3
1303828,5
1303828,1
2359810,15
67549,5
473174,5
100589,5
2719848,1
2719848,5
2719848,17
1372686,1
986233,1
986233,39
2235779,5
2235779,1
119229,5
2991224,60
2991224,61
57197,1
57197,5
1846526,31
1073241,5
